alpha,x_c,Cf_x_upper
8,0.53722,-0.003974
8,0.54479,-0.003877
8,0.55231,-0.003785
8,0.55979,-0.003694
8,0.56721,-0.003605
8,0.57459,-0.003516
8,0.58193,-0.003429
8,0.58921,-0.003342
8,0.59645,-0.003253
8,0.60364,-0.003166
8,0.61079,-0.00308
8,0.61789,-0.002994
8,0.62495,-0.002909
8,0.63196,-0.002825
8,0.63893,-0.002741
8,0.64585,-0.002659
8,0.65273,-0.002575
8,0.65956,-0.002491
8,0.66635,-0.002408
8,0.6731,-0.002326
8,0.67981,-0.002244
8,0.68647,-0.002163
8,0.69309,-0.002083
8,0.69967,-0.002003
8,0.7062,-0.001923
8,0.7127,-0.001844
8,0.71915,-0.001767
8,0.72556,-0.001688
8,0.73193,-0.00161
8,0.73826,-0.001533
8,0.74455,-0.001457
8,0.7508,-0.001383
8,0.75701,-0.001309
8,0.76318,-0.001237
8,0.76931,-0.001167
8,0.7754,-0.001097
8,0.78145,-0.00103
8,0.78747,-0.000963
8,0.79344,-0.000896
8,0.79938,-0.000834
8,0.80528,-0.000775
8,0.81114,-0.000718
8,0.81697,-0.000662
8,0.82276,-0.000609
8,0.82851,-0.000557
8,0.83422,-0.000506
8,0.8399,-0.000456
8,0.84554,-0.000409
8,0.85114,-0.000364
8,0.85671,-0.000321
8,0.86224,-0.000279
8,0.86774,-0.00024
8,0.87321,-0.000202
8,0.87863,-0.000167
8,0.88403,-0.000133
8,0.88939,-0.000102
8,0.89471,-7.2e-05
8,0.9,-4.4e-05
8,0.90526,-1.8e-05
8,0.91048,7e-06
8,0.91567,3e-05
8,0.92082,5.1e-05
8,0.92595,7.1e-05
8,0.93104,8.9e-05
8,0.9361,0.000104
8,0.94112,0.00012
8,0.94611,0.000132
8,0.95107,0.000148
8,0.956,0.000156
8,0.9609,0.000177
8,0.96577,0.000176
8,0.9706,0.000216
8,0.9754,0.000194
8,0.98018,0.000285
8,0.98492,0.000188
8,0.98963,0.000414
8,0.99431,4.5e-05
8,0.99832,6.6e-05
10,0.0,0.000428
10,0.00025,-0.003259
10,0.00073,-0.007397
10,0.00141,-0.011384
10,0.00228,-0.015184
10,0.00334,-0.018566
10,0.00455,-0.021212
10,0.00591,-0.023182
10,0.0074,-0.024599
10,0.00901,-0.025431
10,0.01074,-0.025848
10,0.01256,-0.026051
10,0.01448,-0.02596
10,0.0165,-0.025556
10,0.01861,-0.025006
10,0.0208,-0.024371
10,0.02308,-0.023637
10,0.02545,-0.022778
10,0.0279,-0.021859
10,0.03043,-0.020938
10,0.03305,-0.020028
10,0.03575,-0.019131
10,0.03853,-0.018248
10,0.04139,-0.0174
10,0.04435,-0.016543
10,0.04738,-0.015671
10,0.05051,-0.014836
10,0.05372,-0.01406
10,0.05702,-0.013345
10,0.06041,-0.012689
10,0.0639,-0.012102
10,0.06747,-0.01158
10,0.07114,-0.011134
10,0.07491,-0.010746
10,0.07878,-0.010443
10,0.08275,-0.010183
10,0.08682,-0.009968
10,0.09099,-0.009811
10,0.09528,-0.009702
10,0.09967,-0.009631
10,0.10417,-0.00959
10,0.10878,-0.009571
10,0.11351,-0.009569
10,0.11836,-0.009574
10,0.12333,-0.009567
10,0.12842,-0.009553
10,0.13364,-0.009541
10,0.13898,-0.009527
10,0.14446,-0.009511
10,0.15007,-0.009489
10,0.15582,-0.009443
10,0.16171,-0.009384
10,0.16774,-0.009325
10,0.17391,-0.009269
10,0.18024,-0.009191
10,0.18672,-0.00909
10,0.19335,-0.008991
10,0.20015,-0.008895
10,0.2071,-0.008776
10,0.21423,-0.008641
10,0.22152,-0.008521
10,0.22899,-0.008381
10,0.23663,-0.008226
10,0.24446,-0.008084
10,0.25247,-0.007924
10,0.26067,-0.007764
10,0.26906,-0.007603
10,0.27765,-0.007422
10,0.28645,-0.007288
10,0.29545,-0.007014
10,0.30453,-0.00685
10,0.31356,-0.006758
10,0.32254,-0.006571
10,0.33146,-0.006384
10,0.34033,-0.006215
10,0.34914,-0.006034
10,0.3579,-0.005847
10,0.3666,-0.005672
10,0.37525,-0.005487
10,0.38385,-0.0053
10,0.39239,-0.005119
10,0.40088,-0.00493
10,0.40931,-0.004737
10,0.41769,-0.00458
10,0.42602,-0.004425
10,0.4343,-0.004277
10,0.44252,-0.004141
10,0.45069,-0.004016
10,0.45881,-0.00389
10,0.46688,-0.003766
10,0.47489,-0.003648
10,0.48286,-0.003536
10,0.49077,-0.003424
10,0.49864,-0.003312
10,0.50645,-0.003201
10,0.51422,-0.003094
10,0.52194,-0.002988
10,0.5296,-0.002886
10,0.53722,-0.002782
10,0.54479,-0.002678
10,0.55231,-0.002576
10,0.55979,-0.002476
10,0.56721,-0.002378
10,0.57459,-0.002281
10,0.58193,-0.002186
10,0.58921,-0.002091
10,0.59645,-0.001995
10,0.60364,-0.001902
10,0.61079,-0.001811
10,0.61789,-0.001721
10,0.62495,-0.001633
10,0.63196,-0.001546
10,0.63893,-0.00146
10,0.64585,-0.001376
10,0.65273,-0.001293
10,0.65956,-0.001211
10,0.66635,-0.001131
10,0.6731,-0.001053
10,0.67981,-0.000978
10,0.68647,-0.000904
10,0.69309,-0.000834
10,0.69967,-0.000767
10,0.7062,-0.000703
10,0.7127,-0.000641
10,0.71915,-0.000581
10,0.72556,-0.000522
10,0.73193,-0.000465
10,0.73826,-0.00041
10,0.74455,-0.000357
10,0.7508,-0.000306
10,0.75701,-0.000258
10,0.76318,-0.000212
10,0.76931,-0.000168
10,0.7754,-0.000126
10,0.78145,-8.6e-05
10,0.78747,-4.8e-05
10,0.79344,-1.1e-05
10,0.79938,2.5e-05
10,0.80528,5.9e-05
10,0.81114,8.9e-05
10,0.81697,0.000118
10,0.82276,0.000145
10,0.82851,0.00017
10,0.83422,0.000194
10,0.8399,0.000216
10,0.84554,0.000237
10,0.85114,0.000256
10,0.85671,0.000274
10,0.86224,0.000291
10,0.86774,0.000308
10,0.87321,0.000323
10,0.87863,0.000336
10,0.88403,0.000348
10,0.88939,0.00036
10,0.89471,0.000371
10,0.9,0.000381
10,0.90526,0.000391
10,0.91048,0.000399
10,0.91567,0.000407
10,0.92082,0.000415
10,0.92595,0.000422
10,0.93104,0.000428
10,0.9361,0.000434
10,0.94112,0.000439
10,0.94611,0.000444
10,0.95107,0.000448
10,0.956,0.000451
10,0.9609,0.000455
10,0.96577,0.000452
10,0.9706,0.000455
10,0.9754,0.000439
10,0.98018,0.000444
10,0.98492,0.00039
10,0.98963,0.000347
10,0.99431,0.000244
10,0.99832,0.000429
11,0.0,0.000874
11,0.00025,-0.003271
11,0.00073,-0.00781
11,0.00141,-0.012196
11,0.00228,-0.016197
11,0.00334,-0.019787
11,0.00455,-0.022552
11,0.00591,-0.024553
11,0.0074,-0.025919
11,0.00901,-0.026648
11,0.01074,-0.026964
11,0.01256,-0.027038
11,0.01448,-0.026783
11,0.0165,-0.026197
11,0.01861,-0.025464
11,0.0208,-0.02465
11,0.02308,-0.023735
11,0.02545,-0.022696
11,0.0279,-0.021611
11,0.03043,-0.020539
11,0.03305,-0.01948
11,0.03575,-0.018454
11,0.03853,-0.017435
11,0.04139,-0.016453
11,0.04435,-0.015472
11,0.04738,-0.014487
11,0.05051,-0.013574
11,0.05372,-0.01274
11,0.05702,-0.011981
11,0.06041,-0.011306
11,0.0639,-0.01072
11,0.06747,-0.01022
11,0.07114,-0.009816
11,0.07491,-0.009493
11,0.07878,-0.009273
11,0.08275,-0.009106
11,0.08682,-0.00899
11,0.09099,-0.008933
11,0.09528,-0.00892
11,0.09967,-0.008936
11,0.10417,-0.008974
11,0.10878,-0.009022
11,0.11351,-0.009074
11,0.11836,-0.009124
11,0.12333,-0.009148
11,0.12842,-0.009156
11,0.13364,-0.009159
11,0.13898,-0.009152
11,0.14446,-0.009139
11,0.15007,-0.009116
11,0.15582,-0.009067
11,0.16171,-0.009002
11,0.16774,-0.008936
11,0.17391,-0.00887
11,0.18024,-0.008782
11,0.18672,-0.008671
11,0.19335,-0.00856
11,0.20015,-0.008451
11,0.2071,-0.008319
11,0.21423,-0.008173
11,0.22152,-0.008041
11,0.22899,-0.007889
11,0.23663,-0.007722
11,0.24446,-0.007566
11,0.25247,-0.00739
11,0.26067,-0.007212
11,0.26906,-0.007033
11,0.27765,-0.006833
11,0.28645,-0.006682
11,0.29545,-0.006389
11,0.30453,-0.006216
11,0.31356,-0.006103
11,0.32254,-0.005902
11,0.33146,-0.005703
11,0.34033,-0.005522
11,0.34914,-0.005331
11,0.3579,-0.005134
11,0.3666,-0.004949
11,0.37525,-0.004755
11,0.38385,-0.004559
11,0.39239,-0.004369
11,0.40088,-0.004171
11,0.40931,-0.00397
11,0.41769,-0.003806
11,0.42602,-0.003644
11,0.4343,-0.003491
11,0.44252,-0.003349
11,0.45069,-0.003218
11,0.45881,-0.003086
11,0.46688,-0.002956
11,0.47489,-0.002832
11,0.48286,-0.002712
11,0.49077,-0.002593
11,0.49864,-0.002473
11,0.50645,-0.002355
11,0.51422,-0.002242
11,0.52194,-0.00213
11,0.5296,-0.002022
11,0.53722,-0.001913
11,0.54479,-0.001804
11,0.55231,-0.001701
11,0.55979,-0.001599
11,0.56721,-0.0015
11,0.57459,-0.001403
11,0.58193,-0.00131
11,0.58921,-0.001217
11,0.59645,-0.001125
11,0.60364,-0.001037
11,0.61079,-0.000952
11,0.61789,-0.00087
11,0.62495,-0.000793
11,0.63196,-0.00072
11,0.63893,-0.00065
11,0.64585,-0.000583
11,0.65273,-0.000516
11,0.65956,-0.000452
11,0.66635,-0.000391
11,0.6731,-0.000332
11,0.67981,-0.000276
11,0.68647,-0.000222
11,0.69309,-0.000172
11,0.69967,-0.000123
11,0.7062,-7.8e-05
11,0.7127,-3.4e-05
11,0.71915,8e-06
11,0.72556,4.9e-05
11,0.73193,8.7e-05
11,0.73826,0.000122
11,0.74455,0.000155
11,0.7508,0.000185
11,0.75701,0.000214
11,0.76318,0.00024
11,0.76931,0.000265
11,0.7754,0.000288
11,0.78145,0.000311
11,0.78747,0.000332
11,0.79344,0.000352
11,0.79938,0.000369
11,0.80528,0.000385
11,0.81114,0.0004
11,0.81697,0.000415
11,0.82276,0.000428
11,0.82851,0.000441
11,0.83422,0.000452
11,0.8399,0.000463
11,0.84554,0.000473
11,0.85114,0.000483
11,0.85671,0.000492
11,0.86224,0.0005
11,0.86774,0.000508
11,0.87321,0.000515
11,0.87863,0.000522
11,0.88403,0.000528
11,0.88939,0.000534
11,0.89471,0.00054
